FingerPrint,Week,Iteration,Unscheduled,BaseFP,Count,GamesInWeek,HighSeqNum 
2.1240346691715E13,6,3762,0,1.6111651646355E13,1,15,15
2.1408601658019E13,6,3784,0,1.6111651646355E13,2,14,14
2.1501347728227E13,6,3787,0,1.6111651646355E13,1,15,15
2.1369696619011E13,6,3811,0,1.6111651646355E13,1,15,15
2.1343300793475E13,6,3834,0,1.6111651646355E13,1,15,15
2.1343300793475E13,6,3857,0,1.6111651646355E13,2,14,14
2.1240346691715E13,6,3865,0,1.6111651646355E13,2,14,15
2.1240346691715E13,6,3873,0,1.6111651646355E13,3,13,14
1.6111651646355E13,7,3880,0,1.2077642416016E13,2,13,13
1.5449402397144E13,7,3895,0,1.2077642416016E13,1,13,13
2.0333653962456E13,6,3897,0,1.5449402397144E13,1,15,15
2.013227924124E13,6,3920,0,1.5449402397144E13,1,15,15
2.0511168565656E13,6,3947,0,1.5449402397144E13,1,15,15
2.0277730892856E13,6,3970,0,1.5449402397144E13,1,15,15
2.0277730892856E13,6,3993,0,1.5449402397144E13,2,14,14
2.0277730892856E13,6,3995,0,1.5449402397144E13,3,13,13
2.0277730892856E13,6,3997,0,1.5449402397144E13,4,12,12
2.0277730892856E13,6,4009,0,1.5449402397144E13,5,11,11
2.0233700617368E13,6,4011,0,1.5449402397144E13,1,15,15
2.7190582356006E13,5,4013,0,2.0233700617368E13,1,15,16
2.7190582356006E13,5,4036,0,2.0233700617368E13,2,14,15
2.7190582356006E13,5,4038,0,2.0233700617368E13,3,13,14
2.7190582356006E13,5,4040,0,2.0233700617368E13,4,12,13
2.7190582356006E13,5,4042,0,2.0233700617368E13,5,11,12
2.7190582356006E13,5,4044,0,2.0233700617368E13,6,10,11
2.6888510765328E13,5,4048,0,2.0233700617368E13,1,15,16
3.4491120457488E13,4,4052,0,2.6888510765328E13,1,16,16
2.03455877742E11,16,4078,0,4.2809158174E10,1,16,14
4.33955770956E11,15,4080,0,2.03455877742E11,1,16,15
9.17438972556E11,14,4081,0,4.33955770956E11,1,16,14
1.835807940106E12,13,4082,0,9.17438972556E11,1,15,15
2.906093072194E12,12,4084,0,1.835807940106E12,1,15,14
4.740411336525E12,11,4087,0,2.906093072194E12,1,15,15
7.059272733069E12,10,4088,0,4.740411336525E12,1,14,15
9.987386280396E12,9,4096,0,7.059272733069E12,1,13,14
1.4122434710796E13,8,4097,0,9.987386280396E12,1,15,15
1.8524852856273E13,7,4114,0,1.4122434710796E13,1,14,14
2.3145108696417E13,6,4123,0,1.8524852856273E13,1,15,15
2.9724563101954E13,5,4125,0,2.3145108696417E13,1,14,15
2.9588642580087E13,5,4148,0,2.3145108696417E13,1,15,16
3.5835773553835E13,4,4155,0,2.9588642580087E13,1,13,14
